keyword,title,price,rating,reviews,platform,position,delivery,brand,visibility_score,price_range
microwave oven convection,Lg Microwave Oven Convection Model 351,31911.0,4.4,2073.0,Reliance Digital,,2 Days,Lg,,Premium
office chair ergonomic,Nike Office Chair Ergonomic Model 173,33852.0,4.4,3965.0,Amazon,,2 Days,Nike,,Premium
men running shoes,Hp Men Running Shoes Model 796,16321.0,4.8,4474.0,Flipkart,,5 Days,Hp,,Mid-Range
power bank fast charging,Puma Power Bank Fast Charging Model 343,889.0,4.9,3557.0,Reliance Digital,,5 Days,Puma,,Budget
microwave oven convection,Nike Microwave Oven Convection Model 438,1670.0,3.9,1982.0,Amazon,,2 Days,Nike,,Budget
office chair ergonomic,Sony Office Chair Ergonomic Model 955,28760.0,3.6,2169.0,Flipkart,,2 Days,Sony,,Premium
microwave oven convection,Nike Microwave Oven Convection Model 917,4484.0,3.0,3422.0,Reliance Digital,,5 Days,Nike,,Budget
air fryer india,Dell Air Fryer India Model 250,25576.0,2.9,1041.0,Flipkart,,5 Days,Dell,,Premium
microwave oven convection,Dell Microwave Oven Convection Model 272,438510.0,4.5,351.0,Reliance Digital,,5 Days,Dell,,Luxury
air fryer india,Lg Air Fryer India Model 797,10526.0,4.7,4373.0,Reliance Digital,,2 Days,Lg,,Mid-Range
office chair ergonomic,Lg Office Chair Ergonomic Model 187,7370.0,4.9,324.0,Flipkart,,5 Days,Lg,,Mid-Range
power bank fast charging,Lg Power Bank Fast Charging Model 927,5380.0,2.6,1069.0,Croma,,Free Delivery,Lg,,Mid-Range
office chair ergonomic,Boat Office Chair Ergonomic Model 251,10118.0,3.7,2270.0,Amazon,,2 Days,Boat,,Mid-Range
men running shoes,Philips Men Running Shoes Model 769,6357.0,3.3,255.0,Reliance Digital,,5 Days,Philips,,Mid-Range
power bank fast charging,Dell Power Bank Fast Charging Model 326,35283.0,3.8,4008.0,Amazon,,2 Days,Dell,,Premium
men running shoes,Dell Men Running Shoes Model 450,2830.0,2.9,3675.0,Amazon,,2 Days,Dell,,Budget
power bank fast charging,Lg Power Bank Fast Charging Model 330,28981.0,3.8,4349.0,Croma,,2 Days,Lg,,Premium
office chair ergonomic,Lg Office Chair Ergonomic Model 365,42218.0,3.0,138.0,Amazon,,Free Delivery,Lg,,Premium
men running shoes,Lg Men Running Shoes Model 272,20795.0,4.1,1456.0,Flipkart,,2 Days,Lg,,Premium
microwave oven convection,Hp Microwave Oven Convection Model 260,10399.0,4.8,1364.0,Croma,,2 Days,Hp,,Mid-Range
men running shoes,Hp Men Running Shoes Model 980,22136.0,4.4,2269.0,Croma,,Free Delivery,Hp,,Premium
power bank fast charging,Boat Power Bank Fast Charging Model 625,38621.0,3.5,2443.0,Amazon,,2 Days,Boat,,Premium
office chair ergonomic,Hp Office Chair Ergonomic Model 850,47613.0,4.9,4909.0,Croma,,5 Days,Hp,,Premium
microwave oven convection,Boat Microwave Oven Convection Model 255,9089.0,4.1,3138.0,Croma,,5 Days,Boat,,Mid-Range
air fryer india,Sony Air Fryer India Model 404,10311.0,2.9,2685.0,Croma,,Free Delivery,Sony,,Mid-Range
air fryer india,Philips Air Fryer India Model 313,38075.0,3.5,1080.0,Amazon,,Free Delivery,Philips,,Premium
microwave oven convection,Puma Microwave Oven Convection Model 765,8497.0,2.6,1408.0,Croma,,2 Days,Puma,,Mid-Range
microwave oven convection,Lg Microwave Oven Convection Model 377,15541.0,,1848.0,Reliance Digital,,5 Days,Lg,,Mid-Range
power bank fast charging,Nike Power Bank Fast Charging Model 332,20043.0,3.7,2355.0,Flipkart,,2 Days,Nike,,Premium
microwave oven convection,Puma Microwave Oven Convection Model 583,33632.0,4.5,,Reliance Digital,,Free Delivery,Puma,,Premium
men running shoes,Philips Men Running Shoes Model 437,8752.0,4.7,3962.0,Amazon,,5 Days,Philips,,Mid-Range
microwave oven convection,Sony Microwave Oven Convection Model 873,35455.0,3.7,2825.0,Flipkart,,5 Days,Sony,,Premium
microwave oven convection,Boat Microwave Oven Convection Model 875,6446.0,4.6,613.0,Amazon,,2 Days,Boat,,Mid-Range
microwave oven convection,Sony Microwave Oven Convection Model 369,4789.0,4.6,589.0,Amazon,,5 Days,Sony,,Budget
men running shoes,Dell Men Running Shoes Model 900,8466.0,3.2,3377.0,Croma,,2 Days,Dell,,Mid-Range
men running shoes,Philips Men Running Shoes Model 503,46885.0,4.4,986.0,Amazon,,Free Delivery,Philips,,Premium
men running shoes,Hp Men Running Shoes Model 956,1861.0,3.9,652.0,Croma,,5 Days,Hp,,Budget
air fryer india,Dell Air Fryer India Model 284,36220.0,3.6,2875.0,Croma,,Free Delivery,Dell,,Premium
microwave oven convection,Dell Microwave Oven Convection Model 370,41318.0,3.8,4161.0,Reliance Digital,,2 Days,Dell,,Premium
men running shoes,Samsung Men Running Shoes Model 311,47745.0,,1278.0,Flipkart,,Free Delivery,Samsung,,Premium
air fryer india,Dell Air Fryer India Model 810,10588.0,3.9,4559.0,Croma,,5 Days,Dell,,Mid-Range
air fryer india,Hp Air Fryer India Model 922,15908.0,3.0,2532.0,Reliance Digital,,5 Days,Hp,,Mid-Range
microwave oven convection,Hp Microwave Oven Convection Model 231,15909.0,3.3,3043.0,Reliance Digital,,Free Delivery,Hp,,Mid-Range
office chair ergonomic,Nike Office Chair Ergonomic Model 462,23777.0,3.7,1783.0,Croma,,2 Days,Nike,,Premium
microwave oven convection,Puma Microwave Oven Convection Model 380,17378.0,4.6,4702.0,Flipkart,,5 Days,Puma,,Mid-Range
men running shoes,Hp Men Running Shoes Model 157,35128.0,4.7,2310.0,Reliance Digital,,2 Days,Hp,,Premium
men running shoes,Philips Men Running Shoes Model 776,12533.0,4.8,208.0,Flipkart,,Free Delivery,Philips,,Mid-Range
air fryer india,Samsung Air Fryer India Model 961,14116.0,2.6,2903.0,Croma,,Free Delivery,Samsung,,Mid-Range
power bank fast charging,Nike Power Bank Fast Charging Model 363,702.0,4.5,1477.0,Flipkart,,2 Days,Nike,,Budget
men running shoes,Dell Men Running Shoes Model 705,20430.0,4.6,4958.0,Croma,,2 Days,Dell,,Premium
microwave oven convection,Samsung Microwave Oven Convection Model 692,49213.0,4.9,4261.0,Amazon,,Free Delivery,Samsung,,Premium
microwave oven convection,Hp Microwave Oven Convection Model 498,36910.0,3.3,1021.0,Flipkart,,2 Days,Hp,,Premium
microwave oven convection,Boat Microwave Oven Convection Model 460,16391.0,4.4,4959.0,Croma,,2 Days,Boat,,Mid-Range
office chair ergonomic,Boat Office Chair Ergonomic Model 748,27212.0,3.0,2333.0,Flipkart,,Free Delivery,Boat,,Premium
power bank fast charging,Lg Power Bank Fast Charging Model 928,23555.0,4.9,506.0,Flipkart,,Free Delivery,Lg,,Premium
office chair ergonomic,Hp Office Chair Ergonomic Model 934,42606.0,3.0,3555.0,Flipkart,,Free Delivery,Hp,,Premium
power bank fast charging,Sony Power Bank Fast Charging Model 242,17801.0,3.4,2910.0,Croma,,2 Days,Sony,,Mid-Range
microwave oven convection,Dell Microwave Oven Convection Model 190,41050.0,4.4,1230.0,Reliance Digital,,Free Delivery,Dell,,Premium
power bank fast charging,Philips Power Bank Fast Charging Model 319,38764.0,,416.0,Croma,,5 Days,Philips,,Premium
power bank fast charging,Samsung Power Bank Fast Charging Model 461,2621.0,4.9,112.0,Amazon,,Free Delivery,Samsung,,Budget
power bank fast charging,Boat Power Bank Fast Charging Model 133,4165.0,3.4,2655.0,Croma,,5 Days,Boat,,Budget
office chair ergonomic,Philips Office Chair Ergonomic Model 510,48400.0,4.8,469.0,Reliance Digital,,Free Delivery,Philips,,Premium
air fryer india,Philips Air Fryer India Model 250,32487.0,4.5,2194.0,Reliance Digital,,Free Delivery,Philips,,Premium
men running shoes,Lg Men Running Shoes Model 220,13243.0,3.7,1513.0,Flipkart,,Free Delivery,Lg,,Mid-Range
microwave oven convection,Dell Microwave Oven Convection Model 363,27413.0,3.1,1596.0,Flipkart,,2 Days,Dell,,Premium
power bank fast charging,Hp Power Bank Fast Charging Model 389,18862.0,4.7,4825.0,Flipkart,,5 Days,Hp,,Mid-Range
air fryer india,Puma Air Fryer India Model 420,19293.0,3.5,721.0,Amazon,,2 Days,Puma,,Mid-Range
air fryer india,Dell Air Fryer India Model 471,25906.0,2.8,2582.0,Reliance Digital,,Free Delivery,Dell,,Premium
men running shoes,Puma Men Running Shoes Model 302,46676.0,3.0,1248.0,Flipkart,,Free Delivery,Puma,,Premium
air fryer india,Sony Air Fryer India Model 232,44203.0,4.7,2799.0,Croma,,Free Delivery,Sony,,Premium
air fryer india,Puma Air Fryer India Model 349,30268.0,4.2,3941.0,Croma,,Free Delivery,Puma,,Premium
men running shoes,Boat Men Running Shoes Model 401,146220.0,3.2,1261.0,Reliance Digital,,5 Days,Boat,,Luxury
power bank fast charging,Nike Power Bank Fast Charging Model 369,44892.0,3.9,383.0,Amazon,,2 Days,Nike,,Premium
microwave oven convection,Hp Microwave Oven Convection Model 284,44322.0,4.3,2946.0,Croma,,5 Days,Hp,,Premium
air fryer india,Boat Air Fryer India Model 908,41753.0,4.3,3905.0,Reliance Digital,,Free Delivery,Boat,,Premium
office chair ergonomic,Lg Office Chair Ergonomic Model 572,23787.0,4.4,2192.0,Croma,,Free Delivery,Lg,,Premium
men running shoes,Nike Men Running Shoes Model 761,22667.0,4.7,1929.0,Flipkart,,Free Delivery,Nike,,Premium
office chair ergonomic,Lg Office Chair Ergonomic Model 655,41827.0,4.1,,Flipkart,,Free Delivery,Lg,,Premium
air fryer india,Lg Air Fryer India Model 811,33630.0,4.0,1597.0,Reliance Digital,,Free Delivery,Lg,,Premium
microwave oven convection,Puma Microwave Oven Convection Model 556,192440.0,4.3,4490.0,Croma,,2 Days,Puma,,Luxury
air fryer india,Lg Air Fryer India Model 528,48545.0,4.5,309.0,Flipkart,,5 Days,Lg,,Premium
microwave oven convection,Lg Microwave Oven Convection Model 606,30148.0,2.7,4899.0,Croma,,5 Days,Lg,,Premium
power bank fast charging,Dell Power Bank Fast Charging Model 949,26802.0,2.9,3666.0,Flipkart,,Free Delivery,Dell,,Premium
power bank fast charging,Sony Power Bank Fast Charging Model 531,32369.0,2.6,2525.0,Flipkart,,Free Delivery,Sony,,Premium
office chair ergonomic,Nike Office Chair Ergonomic Model 985,46962.0,3.6,526.0,Croma,,2 Days,Nike,,Premium
power bank fast charging,Hp Power Bank Fast Charging Model 469,23432.0,3.3,,Croma,,2 Days,Hp,,Premium
power bank fast charging,Samsung Power Bank Fast Charging Model 954,16114.0,3.1,3197.0,Reliance Digital,,2 Days,Samsung,,Mid-Range
power bank fast charging,Puma Power Bank Fast Charging Model 144,36520.0,3.1,3011.0,Reliance Digital,,5 Days,Puma,,Premium
office chair ergonomic,Nike Office Chair Ergonomic Model 799,48982.0,3.3,3233.0,Amazon,,Free Delivery,Nike,,Premium
power bank fast charging,Samsung Power Bank Fast Charging Model 447,14024.0,4.0,3085.0,Reliance Digital,,Free Delivery,Samsung,,Mid-Range
air fryer india,Lg Air Fryer India Model 152,28647.0,3.9,3757.0,Flipkart,,5 Days,Lg,,Premium
office chair ergonomic,Nike Office Chair Ergonomic Model 321,17858.0,3.7,666.0,Flipkart,,5 Days,Nike,,Mid-Range
air fryer india,Nike Air Fryer India Model 609,34421.0,2.8,660.0,Amazon,,Free Delivery,Nike,,Premium
power bank fast charging,Boat Power Bank Fast Charging Model 295,17152.0,3.9,1879.0,Flipkart,,Free Delivery,Boat,,Mid-Range
power bank fast charging,Samsung Power Bank Fast Charging Model 308,780.0,2.9,2239.0,Croma,,2 Days,Samsung,,Budget
men running shoes,Puma Men Running Shoes Model 846,1264.0,4.2,1855.0,Croma,,5 Days,Puma,,Budget
air fryer india,Dell Air Fryer India Model 255,26154.0,3.4,1644.0,Flipkart,,Free Delivery,Dell,,Premium
power bank fast charging,Sony Power Bank Fast Charging Model 220,35128.0,4.3,1617.0,Amazon,,5 Days,Sony,,Premium
microwave oven convection,Hp Microwave Oven Convection Model 161,34850.0,4.7,1498.0,Amazon,,5 Days,Hp,,Premium
power bank fast charging,Puma Power Bank Fast Charging Model 131,8933.0,3.8,143.0,Amazon,,2 Days,Puma,,Mid-Range
office chair ergonomic,Puma Office Chair Ergonomic Model 677,20577.0,3.6,3338.0,Croma,,5 Days,Puma,,Premium
power bank fast charging,Lg Power Bank Fast Charging Model 664,34516.0,4.0,2812.0,Amazon,,Free Delivery,Lg,,Premium
microwave oven convection,Puma Microwave Oven Convection Model 871,11766.0,4.5,4784.0,Reliance Digital,,5 Days,Puma,,Mid-Range
power bank fast charging,Philips Power Bank Fast Charging Model 956,22658.0,4.3,4250.0,Amazon,,2 Days,Philips,,Premium
air fryer india,Puma Air Fryer India Model 328,22632.0,4.8,2008.0,Amazon,,Free Delivery,Puma,,Premium
microwave oven convection,Boat Microwave Oven Convection Model 117,12123.0,4.6,4412.0,Flipkart,,5 Days,Boat,,Mid-Range
power bank fast charging,Hp Power Bank Fast Charging Model 832,30429.0,4.4,4501.0,Flipkart,,Free Delivery,Hp,,Premium
power bank fast charging,Sony Power Bank Fast Charging Model 552,1240.0,4.0,1072.0,Flipkart,,Free Delivery,Sony,,Budget
men running shoes,Nike Men Running Shoes Model 523,19303.0,4.7,3172.0,Amazon,,2 Days,Nike,,Mid-Range
office chair ergonomic,Sony Office Chair Ergonomic Model 587,2295.0,,4417.0,Croma,,5 Days,Sony,,Budget
microwave oven convection,Nike Microwave Oven Convection Model 158,325160.0,3.5,4292.0,Croma,,5 Days,Nike,,Luxury
office chair ergonomic,Puma Office Chair Ergonomic Model 360,24626.0,2.8,3256.0,Croma,,Free Delivery,Puma,,Premium
power bank fast charging,Dell Power Bank Fast Charging Model 204,49421.0,2.6,1928.0,Flipkart,,Free Delivery,Dell,,Premium
air fryer india,Nike Air Fryer India Model 534,17928.0,3.4,3731.0,Reliance Digital,,2 Days,Nike,,Mid-Range
men running shoes,Lg Men Running Shoes Model 145,30111.0,3.1,702.0,Reliance Digital,,Free Delivery,Lg,,Premium
air fryer india,Philips Air Fryer India Model 360,17016.0,3.5,2921.0,Reliance Digital,,Free Delivery,Philips,,Mid-Range
power bank fast charging,Hp Power Bank Fast Charging Model 824,3841.0,3.8,1977.0,Amazon,,5 Days,Hp,,Budget
microwave oven convection,Samsung Microwave Oven Convection Model 836,17755.0,3.3,903.0,Reliance Digital,,Free Delivery,Samsung,,Mid-Range
power bank fast charging,Samsung Power Bank Fast Charging Model 858,4182.0,4.4,2560.0,Amazon,,Free Delivery,Samsung,,Budget
power bank fast charging,Lg Power Bank Fast Charging Model 466,49248.0,,1875.0,Amazon,,5 Days,Lg,,Premium
men running shoes,Nike Men Running Shoes Model 143,44839.0,2.6,3003.0,Flipkart,,Free Delivery,Nike,,Premium
office chair ergonomic,Boat Office Chair Ergonomic Model 149,17627.0,3.6,2289.0,Amazon,,2 Days,Boat,,Mid-Range
office chair ergonomic,Puma Office Chair Ergonomic Model 996,66760.0,3.1,2181.0,Reliance Digital,,5 Days,Puma,,Luxury
power bank fast charging,Lg Power Bank Fast Charging Model 549,32260.0,4.7,1850.0,Reliance Digital,,5 Days,Lg,,Premium
office chair ergonomic,Sony Office Chair Ergonomic Model 269,35424.0,3.8,886.0,Amazon,,5 Days,Sony,,Premium
air fryer india,Philips Air Fryer India Model 729,21132.0,2.7,4262.0,Croma,,Free Delivery,Philips,,Premium
men running shoes,Philips Men Running Shoes Model 417,12377.0,4.1,1839.0,Flipkart,,5 Days,Philips,,Mid-Range
power bank fast charging,Nike Power Bank Fast Charging Model 843,21420.0,4.5,465.0,Flipkart,,Free Delivery,Nike,,Premium
office chair ergonomic,Nike Office Chair Ergonomic Model 207,18384.0,3.9,3798.0,Flipkart,,2 Days,Nike,,Mid-Range
microwave oven convection,Hp Microwave Oven Convection Model 936,39408.0,4.2,3196.0,Croma,,5 Days,Hp,,Premium
office chair ergonomic,Lg Office Chair Ergonomic Model 518,37579.0,3.0,2735.0,Amazon,,2 Days,Lg,,Premium
men running shoes,Boat Men Running Shoes Model 196,6965.0,4.7,281.0,Amazon,,Free Delivery,Boat,,Mid-Range
power bank fast charging,Lg Power Bank Fast Charging Model 926,5841.0,3.5,1593.0,Croma,,5 Days,Lg,,Mid-Range
power bank fast charging,Samsung Power Bank Fast Charging Model 204,35892.0,4.0,4811.0,Amazon,,2 Days,Samsung,,Premium
men running shoes,Boat Men Running Shoes Model 488,34899.0,4.3,2120.0,Amazon,,5 Days,Boat,,Premium
air fryer india,Philips Air Fryer India Model 777,24223.0,2.9,2765.0,Reliance Digital,,5 Days,Philips,,Premium
microwave oven convection,Lg Microwave Oven Convection Model 465,35692.0,3.1,560.0,Flipkart,,2 Days,Lg,,Premium
men running shoes,Philips Men Running Shoes Model 921,6136.0,,3343.0,Croma,,Free Delivery,Philips,,Mid-Range
men running shoes,Sony Men Running Shoes Model 459,42264.0,3.5,3067.0,Flipkart,,2 Days,Sony,,Premium
office chair ergonomic,Puma Office Chair Ergonomic Model 906,23890.0,,2464.0,Reliance Digital,,2 Days,Puma,,Premium
power bank fast charging,Puma Power Bank Fast Charging Model 949,87970.0,4.8,1988.0,Amazon,,Free Delivery,Puma,,Luxury
men running shoes,Hp Men Running Shoes Model 911,9329.0,4.5,418.0,Amazon,,5 Days,Hp,,Mid-Range
air fryer india,Hp Air Fryer India Model 837,20648.0,,866.0,Reliance Digital,,5 Days,Hp,,Premium
power bank fast charging,Lg Power Bank Fast Charging Model 340,40436.0,,4359.0,Reliance Digital,,2 Days,Lg,,Premium
microwave oven convection,Nike Microwave Oven Convection Model 856,27091.0,4.1,277.0,Croma,,5 Days,Nike,,Premium
men running shoes,Boat Men Running Shoes Model 803,20987.0,4.5,3826.0,Flipkart,,2 Days,Boat,,Premium
office chair ergonomic,Nike Office Chair Ergonomic Model 698,18380.0,3.1,1698.0,Reliance Digital,,Free Delivery,Nike,,Mid-Range
office chair ergonomic,Dell Office Chair Ergonomic Model 875,32126.0,3.2,3250.0,Reliance Digital,,5 Days,Dell,,Premium
air fryer india,Philips Air Fryer India Model 596,21238.0,4.8,2607.0,Flipkart,,Free Delivery,Philips,,Premium
office chair ergonomic,Hp Office Chair Ergonomic Model 303,1279.0,4.9,4932.0,Amazon,,2 Days,Hp,,Budget
office chair ergonomic,Philips Office Chair Ergonomic Model 477,10866.0,,4350.0,Croma,,5 Days,Philips,,Mid-Range
power bank fast charging,Philips Power Bank Fast Charging Model 642,28225.0,4.6,2579.0,Reliance Digital,,2 Days,Philips,,Premium
air fryer india,Nike Air Fryer India Model 718,29744.0,4.3,767.0,Croma,,5 Days,Nike,,Premium
men running shoes,Puma Men Running Shoes Model 786,46190.0,4.4,4850.0,Reliance Digital,,2 Days,Puma,,Premium
power bank fast charging,Puma Power Bank Fast Charging Model 482,45981.0,4.7,4614.0,Croma,,Free Delivery,Puma,,Premium
air fryer india,Philips Air Fryer India Model 969,34115.0,3.7,2589.0,Reliance Digital,,2 Days,Philips,,Premium
men running shoes,Puma Men Running Shoes Model 582,28024.0,,80.0,Flipkart,,Free Delivery,Puma,,Premium
men running shoes,Puma Men Running Shoes Model 698,10209.0,4.2,1801.0,Reliance Digital,,5 Days,Puma,,Mid-Range
air fryer india,Samsung Air Fryer India Model 828,46174.0,3.8,996.0,Flipkart,,2 Days,Samsung,,Premium
power bank fast charging,Boat Power Bank Fast Charging Model 839,14552.0,3.0,3900.0,Amazon,,Free Delivery,Boat,,Mid-Range
power bank fast charging,Boat Power Bank Fast Charging Model 674,37226.0,4.0,240.0,Amazon,,Free Delivery,Boat,,Premium
microwave oven convection,Dell Microwave Oven Convection Model 467,2674.0,4.7,1877.0,Amazon,,2 Days,Dell,,Budget
office chair ergonomic,Lg Office Chair Ergonomic Model 721,29876.0,4.9,2562.0,Croma,,Free Delivery,Lg,,Premium
office chair ergonomic,Hp Office Chair Ergonomic Model 674,25437.0,3.0,2042.0,Croma,,2 Days,Hp,,Premium
microwave oven convection,Samsung Microwave Oven Convection Model 355,19714.0,2.5,658.0,Amazon,,Free Delivery,Samsung,,Mid-Range
men running shoes,Hp Men Running Shoes Model 182,47672.0,3.9,,Reliance Digital,,2 Days,Hp,,Premium
men running shoes,Hp Men Running Shoes Model 331,29643.0,4.6,359.0,Reliance Digital,,2 Days,Hp,,Premium
office chair ergonomic,Boat Office Chair Ergonomic Model 293,14351.0,3.9,1098.0,Flipkart,,5 Days,Boat,,Mid-Range
air fryer india,Nike Air Fryer India Model 642,6086.0,,4274.0,Flipkart,,5 Days,Nike,,Mid-Range
air fryer india,Hp Air Fryer India Model 311,43097.0,3.6,1168.0,Reliance Digital,,2 Days,Hp,,Premium
office chair ergonomic,Hp Office Chair Ergonomic Model 929,48052.0,3.8,37.0,Croma,,2 Days,Hp,,Premium
office chair ergonomic,Nike Office Chair Ergonomic Model 400,14284.0,4.7,1381.0,Croma,,Free Delivery,Nike,,Mid-Range
men running shoes,Nike Men Running Shoes Model 617,17198.0,3.8,3865.0,Croma,,5 Days,Nike,,Mid-Range
power bank fast charging,Hp Power Bank Fast Charging Model 745,30753.0,4.6,884.0,Reliance Digital,,2 Days,Hp,,Premium
microwave oven convection,Lg Microwave Oven Convection Model 103,45883.0,4.5,1488.0,Flipkart,,2 Days,Lg,,Premium
microwave oven convection,Nike Microwave Oven Convection Model 484,35539.0,,461.0,Reliance Digital,,Free Delivery,Nike,,Premium
microwave oven convection,Nike Microwave Oven Convection Model 744,14102.0,3.3,355.0,Reliance Digital,,Free Delivery,Nike,,Mid-Range
power bank fast charging,Hp Power Bank Fast Charging Model 251,29650.0,4.0,2211.0,Amazon,,5 Days,Hp,,Premium
men running shoes,Philips Men Running Shoes Model 830,37227.0,3.2,2415.0,Flipkart,,Free Delivery,Philips,,Premium
men running shoes,Sony Men Running Shoes Model 146,15396.0,4.5,1884.0,Flipkart,,5 Days,Sony,,Mid-Range
power bank fast charging,Puma Power Bank Fast Charging Model 127,10720.0,4.3,629.0,Reliance Digital,,Free Delivery,Puma,,Mid-Range
men running shoes,Samsung Men Running Shoes Model 413,14199.0,3.9,4628.0,Reliance Digital,,Free Delivery,Samsung,,Mid-Range
air fryer india,Samsung Air Fryer India Model 611,3868.0,2.7,4042.0,Croma,,2 Days,Samsung,,Budget
power bank fast charging,Lg Power Bank Fast Charging Model 130,49897.0,3.0,2424.0,Reliance Digital,,5 Days,Lg,,Premium
office chair ergonomic,Boat Office Chair Ergonomic Model 306,33632.0,3.7,803.0,Reliance Digital,,2 Days,Boat,,Premium
microwave oven convection,Boat Microwave Oven Convection Model 962,13198.0,4.3,3270.0,Amazon,,2 Days,Boat,,Mid-Range
microwave oven convection,Puma Microwave Oven Convection Model 409,19446.0,,2308.0,Croma,,2 Days,Puma,,Mid-Range
air fryer india,Hp Air Fryer India Model 794,27642.0,4.9,22.0,Reliance Digital,,5 Days,Hp,,Premium
power bank fast charging,Boat Power Bank Fast Charging Model 410,7209.0,3.8,4713.0,Flipkart,,Free Delivery,Boat,,Mid-Range
microwave oven convection,Boat Microwave Oven Convection Model 217,4482.0,3.2,779.0,Croma,,2 Days,Boat,,Budget
power bank fast charging,Lg Power Bank Fast Charging Model 610,32170.0,3.4,852.0,Reliance Digital,,Free Delivery,Lg,,Premium
power bank fast charging,Samsung Power Bank Fast Charging Model 384,11076.0,4.4,2498.0,Amazon,,Free Delivery,Samsung,,Mid-Range
air fryer india,Puma Air Fryer India Model 890,22607.0,3.3,2977.0,Reliance Digital,,2 Days,Puma,,Premium
microwave oven convection,Hp Microwave Oven Convection Model 255,150250.0,4.8,644.0,Reliance Digital,,Free Delivery,Hp,,Luxury
men running shoes,Nike Men Running Shoes Model 445,6514.0,3.1,3970.0,Amazon,,Free Delivery,Nike,,Mid-Range
power bank fast charging,Puma Power Bank Fast Charging Model 391,21690.0,3.2,3331.0,Flipkart,,2 Days,Puma,,Premium
office chair ergonomic,Lg Office Chair Ergonomic Model 994,13287.0,4.6,414.0,Croma,,Free Delivery,Lg,,Mid-Range
men running shoes,Hp Men Running Shoes Model 483,498050.0,3.3,4703.0,Amazon,,2 Days,Hp,,Luxury
men running shoes,Boat Men Running Shoes Model 963,1439.0,3.7,2268.0,Reliance Digital,,Free Delivery,Boat,,Budget
air fryer india,Sony Air Fryer India Model 556,4039.0,3.1,2150.0,Amazon,,5 Days,Sony,,Budget
microwave oven convection,Nike Microwave Oven Convection Model 557,26380.0,4.7,3235.0,Flipkart,,Free Delivery,Nike,,Premium
microwave oven convection,Hp Microwave Oven Convection Model 907,38823.0,3.2,214.0,Croma,,2 Days,Hp,,Premium
air fryer india,Nike Air Fryer India Model 938,6967.0,2.7,2732.0,Reliance Digital,,5 Days,Nike,,Mid-Range
office chair ergonomic,Lg Office Chair Ergonomic Model 506,41093.0,3.2,3648.0,Flipkart,,5 Days,Lg,,Premium
men running shoes,Nike Men Running Shoes Model 469,8496.0,4.5,969.0,Croma,,2 Days,Nike,,Mid-Range
air fryer india,Hp Air Fryer India Model 735,6304.0,3.9,3336.0,Amazon,,5 Days,Hp,,Mid-Range
men running shoes,Samsung Men Running Shoes Model 267,27684.0,4.4,2165.0,Flipkart,,5 Days,Samsung,,Premium
men running shoes,Lg Men Running Shoes Model 927,10893.0,,3220.0,Flipkart,,Free Delivery,Lg,,Mid-Range
air fryer india,Boat Air Fryer India Model 822,317150.0,,912.0,Reliance Digital,,2 Days,Boat,,Luxury
